state_code	state_name	county	county_fips	county_population	business_population	actual_margin	install_margin	active_merchants
PA	Pennsylvania	Centre	42027	161464	729	53595.8106	17070.14	133
UT	Utah	Millard	49027	12694	74	1186.2783	0.0	3
IN	Indiana	Bartholomew	18005	81402	294	34171.8980	23661.89	69
GA	Georgia	Oglethorpe	13221	14921	19	1011.9044	0.0	6
MT	Montana	Blaine	30005	6601	40	358.2720	0.0	2
VA	Virginia	Fairfax	51059	1138652	3058	257104.9451	96259.46999999999	426
DC	District of Columbia	District Of Columbia	11001	681170	2401	151020.0429	106103.41	324
CA	California	Del Norte	06015	27540	155	12492.1255	7466.0	16
GA	Georgia	Fulton	13121	1023336	5229	198281.0710	216153.85	427
IN	Indiana	Allen	18003	370404	1609	112284.5903	28762.48	363
AE	Armed Forces - Europe/Africa/Canada	None	00000	0	0	0.0000	0.0	(null)
NY	New York	Bronx	36005	1455720	3755	101652.2959	32808.399999999994	257
CA	California	Los Angeles	06037	10137915	50391	2763705.5603	1001093.3899999993	4685
KY	Kentucky	Fleming	21069	14507	73	685.5439	0.0	3
MI	Michigan	Oakland	26125	1243970	5823	808592.3893	144098.54	863
MT	Montana	Park	30067	16114	224	3699.6377	240.0	18
MO	Missouri	Daviess	29061	8209	51	2523.4955	2148.0	10
MO	Missouri	Boone	29019	176594	765	85516.7991	12145.09	191
LA	Louisiana	Vermilion	22113	60205	304	14369.5609	5875.0	38
NH	New Hampshire	Strafford	33017	127428	589	56299.3334	25925.8	160
LA	Louisiana	Caddo	22017	248851	1321	39793.4111	0.0	102
AP	Armed Forces - Europe/Africa/Canada	None	00000	0	0	0.0000	0.0	(null)
CA	California	Calaveras	06009	45171	300	12181.9524	25626.7	33
NM	New Mexico	Santa Fe	35049	148651	1323	126830.8940	40353.5	252
IA	Iowa	Marion	19125	33189	152	16124.2542	20670.0	34
FL	Florida	Miami-Dade	12086	2712945	13433	468996.3277	346311.43999999994	1029
NY	New York	Genesee	36037	58482	295	14488.0201	7170.0	35
NH	New Hampshire	Merrimack	33013	148582	819	137595.6544	32497.53	346
VA	Virginia	Salem City	51775	25549	221	16479.0529	1056.3	60
MO	Missouri	Douglas	29067	13358	46	539.2276	0.0	2
MT	Montana	Missoula	30063	116130	989	73571.5893	13051.19	150
MI	Michigan	Kalamazoo	26077	261654	1348	52190.6530	14959.0	144
VA	Virginia	Amherst	51009	31633	121	3246.0902	1844.45	8
TX	Texas	Dickens	48125	2184	17	0.0000	0.0	(null)
IL	Illinois	Randolph	17157	32621	183	2979.5157	1307.59	12
CA	California	Tehama	06103	63276	330	6747.4502	15067.0	15
NV	Nevada	Washoe	32031	453616	2262	269433.1235	40709.81	553
TN	Tennessee	Shelby	47157	934603	4006	182893.7343	55379.52	430
NY	New York	Steuben	36101	96940	465	21124.7885	505.17	57
HI	Hawaii	Honolulu	15003	992605	3949	507237.1688	80888.51000000001	1419
IN	Indiana	Lawrence	18093	45518	224	6731.4138	3725.0	22
PA	Pennsylvania	Lancaster	42071	538500	3041	134865.3328	17250.91	270
NY	New York	Queens	36081	2333054	7459	370901.1060	217958.0825	772
PA	Pennsylvania	Juniata	42067	24863	119	2006.0244	0.0	6
IN	Indiana	Benton	18007	8650	38	1311.7378	0.0	4
TX	Texas	Ector	48135	157462	777	49326.5961	19128.0	94
CA	California	Yolo	06113	215802	874	36600.7523	15613.8	94
NJ	New Jersey	Bergen	34003	939151	5397	256117.7999	130732.3825	521
IA	Iowa	Black Hawk	19013	132904	684	52441.4341	3161.0	124
IA	Iowa	Winnebago	19189	10631	109	376.2769	0.0	1
NY	New York	Orange	36071	379210	1956	138770.4878	17610.829999999998	261
TX	Texas	Denton	48121	806180	2141	181441.7137	50522.67999999999	302
OH	Ohio	Marion	39101	65096	248	7003.8960	25.0	19
PA	Pennsylvania	Butler	42019	186847	1150	126743.9060	57403.78	317
GA	Georgia	Decatur	13087	26822	150	2411.0164	1542.0	7
NJ	New Jersey	Middlesex	34023	837073	3238	194802.7127	68392.58	452
OH	Ohio	Guernsey	39059	39063	227	7834.6611	0.0	16
NM	New Mexico	Dona Ana	35013	214207	632	77914.1108	15536.86	145
CA	California	Santa Cruz	06087	274673	1825	68626.1526	12204.51	143
OR	Oregon	Washington	41067	582779	1965	144964.2433	64833.43	311
NC	North Carolina	Nash	37127	94005	421	13515.2039	103.77000000000001	42
KS	Kansas	Clark	20025	2072	22	202.7200	0.0	1
VA	Virginia	Accomack	51001	32947	213	3591.1941	0.0	16
KY	Kentucky	Jefferson	21111	765352	3280	260145.9878	78376.23999999999	616
VA	Virginia	Charlotte	51037	12129	64	468.9573	0.0	1
KY	Kentucky	Whitley	21235	36096	238	7615.4730	0.0	25
TX	Texas	Trinity	48455	14442	51	4349.2324	3404.5299999999997	14
IL	Illinois	Marshall	17123	11939	57	1029.3733	0.0	4
GA	Georgia	Cobb	13067	748150	2916	99921.3844	77549.37	228
NJ	New Jersey	Burlington	34005	449284	1742	124428.4011	52564.88	372
MI	Michigan	Leelanau	26089	21765	195	3664.3589	1072.0	16
NC	North Carolina	Yadkin	37197	37532	207	3399.8967	0.0	13
VT	Vermont	Windsor	50027	55496	536	45228.5752	1433.0	119
MI	Michigan	Hillsdale	26059	45774	201	5616.3128	0.0	20
OH	Ohio	Licking	39089	172198	730	40964.2572	11333.6	79
RI	Rhode Island	Providence	44007	633673	3109	190161.6018	38945.979999999996	364
FL	Florida	Pinellas	12103	960730	5106	363220.3281	73925.76	591
TX	Texas	Dallas	48113	2574984	10701	498069.7910	132153.97999999998	1027
WY	Wyoming	Laramie	56021	98136	442	39974.1619	20035.12	81
LA	Louisiana	Ouachita	22073	156983	852	50703.7866	11561.91	135
VA	Virginia	Gloucester	51073	37214	169	11239.4172	110.89	12
IL	Illinois	Ford	17053	13575	96	1208.5578	0.0	6
TX	Texas	Gregg	48183	123745	1049	31042.6554	1202.1	76
FL	Florida	Hendry	12051	39290	144	2085.8258	1389.0	4
NY	New York	Lewis	36049	26865	129	3154.7952	3111.5	11
