county_fips,state_code,state_name,county,county_population,business_population,active_merchants,actual_margin
42027,PA,Pennsylvania,Centre,161464,729,168,158686.6781
49027,UT,Utah,Millard,12694,74,14,3655.0921
18005,IN,Indiana,Bartholomew,81402,294,122,93956.8976
13221,GA,Georgia,Oglethorpe,14921,19,7,3359.3679
30005,MT,Montana,Blaine,6601,40,8,0
51059,VA,Virginia,Fairfax,1138652,3058,858,697005.145
11001,DC,District of Columbia,District Of Columbia,681170,2401,604,426944.1932
06015,CA,California,Del Norte,27540,155,28,33091.3121
13121,GA,Georgia,Fulton,1023336,5229,911,526178.1136
18003,IN,Indiana,Allen,370404,1609,609,245937.5124
36005,NY,New York,Bronx,1455720,3755,375,227557.4233
06037,CA,California,Los Angeles,10137915,50391,8269,6789026.769
21069,KY,Kentucky,Fleming,14507,73,15,2791.2435
26125,MI,Michigan,Oakland,1243970,5823,1437,2316643.664
30067,MT,Montana,Park,16114,224,36,14931.4248
29061,MO,Missouri,Daviess,8209,51,12,8256.3024
29019,MO,Missouri,Boone,176594,765,260,186771.0705
22113,LA,Louisiana,Vermilion,60205,304,58,33006.2299
33017,NH,New Hampshire,Strafford,127428,589,0,0
22017,LA,Louisiana,Caddo,248851,1321,213,120636.8445
06009,CA,California,Calaveras,45171,300,49,31300.8127
35049,NM,New Mexico,Santa Fe,148651,1323,300,349469.5685
19125,IA,Iowa,Marion,33189,152,62,45481.4958
12086,FL,Florida,Miami-Dade,2712945,13433,1788,1041119.404
36037,NY,New York,Genesee,58482,295,91,39069.6677
33013,NH,New Hampshire,Merrimack,148582,819,0,0
51775,VA,Virginia,Salem City,25549,221,101,40787.3848
29067,MO,Missouri,Douglas,13358,46,12,2034.1977
30063,MT,Montana,Missoula,116130,989,205,144026.3911
26077,MI,Michigan,Kalamazoo,261654,1348,261,145043.5298
51009,VA,Virginia,Amherst,31633,121,21,11455.3599
48125,TX,Texas,Dickens,2184,17,0,0
17157,IL,Illinois,Randolph,32621,183,25,7124.9066
06103,CA,California,Tehama,63276,330,36,23473.1776
32031,NV,Nevada,Washoe,453616,2262,755,675131.019
47157,TN,Tennessee,Shelby,934603,4006,737,441023.2616
36101,NY,New York,Steuben,96940,465,123,61711.5279
15003,HI,Hawaii,Honolulu,992605,3949,1614,802239.6046
